iter,tune_metric,tune_score,wmape_weighted,peak_std_11_12,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,gamma,n_estimators
119,wmape_only,25.425405120737178,25.425405120737178,inf,0.02385472982896475,6,6,0.9297714014901666,0.8374140227987414,0.009985040108828171,0.03796972255011485,0.8127430173231537,2900
148,wmape_only,25.437406076523693,25.437406076523693,inf,0.055759708866120125,3,15,0.9823089413008275,0.7766353536958643,0.006042582848172455,0.011791741505194544,0.5089658286976868,2900
93,wmape_only,25.449554619069033,25.449554619069033,inf,0.07863968054910461,3,15,0.6096298613681682,0.7196281692013573,0.1705093052277142,0.772141815279363,0.3442173600556214,2900
141,wmape_only,25.466840228797153,25.466840228797153,inf,0.14376697447144232,6,11,0.8314297322490749,0.8192898903038992,2.099356520091918,0.03186591671372857,2.2956066248155995,2900
135,wmape_only,25.49513133476204,25.49513133476204,inf,0.03178856240312861,7,7,0.6550503167594606,0.6600493048825181,0.02707378713105252,4.545005644405935,2.155025702719305,2900
11,wmape_only,25.507668466633074,25.507668466633074,inf,0.010315491297474317,7,6,0.8610718225085409,0.7175273165565765,3.304947706979485,0.6954930183379842,0.22159664008171864,2900
149,wmape_only,25.51558887529293,25.51558887529293,inf,0.13776223328303575,8,10,0.622898992510919,0.7089897463215581,1.162090461352219,1.1921333588826781,1.962194567368457,2900
130,wmape_only,25.52210364015757,25.52210364015757,inf,0.012934544815880467,7,6,0.6780550933898123,0.8549330493244314,0.2210683601414749,0.0642695030452361,0.7987972292210983,2900
21,wmape_only,25.557325622779246,25.557325622779246,inf,0.010632070552684376,3,4,0.6548554798838375,0.603237472444074,0.00010093823692790826,0.029320651670170693,2.480399988074467,2900
22,wmape_only,25.564086024773644,25.564086024773644,inf,0.1016345001336413,3,7,0.9477965486951024,0.8238131282168256,0.00012586652350685365,0.015309469142743868,1.8413707636544239,2900
17,wmape_only,25.568447134241698,25.568447134241698,inf,0.12135653659433725,3,5,0.7076761756649366,0.7016983438434721,1.5504429361182663,0.403943097352267,2.5571213346736097,2900
35,wmape_only,25.607452538119635,25.607452538119635,inf,0.03191645620882445,6,5,0.8718686848284184,0.9236554552152124,0.003635985051799253,0.16983183476617522,2.1975101700626563,2900
123,wmape_only,25.72346249772246,25.72346249772246,inf,0.05516960806297076,6,8,0.9220215920882834,0.8707315655763619,0.11091655219456105,3.4635590596265513,0.41936400368965265,2900
7,wmape_only,25.78007199298573,25.78007199298573,inf,0.012990331726666223,6,5,0.6881011825285988,0.8207933482293722,0.005186533098325209,0.2441105015859415,1.5813879864824374,2900
